year,rainy_days
1931,3
1932,4
1933,1
1934,0
1935,1
1936,3
1937,1
1938,1
1939,6
1940,3
1941,1
1942,2
1943,1
1944,1
1945,3
1946,2
1947,3
1948,1
1949,1
1950,1
1951,1
1952,0
1953,5
1954,2
1955,1
1956,3
1957,3
1958,2
1959,3
1960,2
1961,1
1962,2
1963,0
1964,0
1965,5
1966,2
1967,3
1968,0
1969,1
1970,4
1971,1
1972,2
1973,1
1974,0
1975,0
1976,0
1977,0
1978,5
1979,2
1980,1
1981,2
1982,0
1983,2
1984,0
1985,4
1986,2
1987,2
1988,2
1989,1
1990,1
1991,1
1992,1
1993,5
1994,2
1995,0
1996,1
1997,0
1998,1
1999,0
2000,0
2001,1
2002,2
2003,4
2004,0
2005,3
2006,2
2007,7
2008,3
2009,6
2010,2
2011,0
2012,1
2013,3
2014,1
2015,4
2016,0
2017,5
2018,2
2019,4
2020,3
2021,4
2022,0
2023,4
2024,1
2025,1
